index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
836,BGD,CAN,1,1998,44091752.448,631432413.184,12469.0,114401.48801362514
837,BGD,CAN,1,2000,47124926.464,739455926.2720001,12469.0,115621.6649604151
838,BGD,CAN,1,2001,46987841.536,732716924.928,12469.0,109248.07160720509
839,BGD,CAN,1,2002,47571128.32,752531734.528,12469.0,30833.665335076865
840,BGD,CAN,1,2003,51913662.464,887751770.112,12469.0,97289.4714836399
841,BGD,CAN,1,2004,56560742.4,1018385596.416,12469.0,108101.89720177218
842,BGD,CAN,1,2005,60277559.296,1164179537.92,12469.0,117763.09094529296
843,BGD,CAN,1,2006,71819091.968,1310795235.328,12469.0,179030.04517362942
844,BGD,CAN,1,2007,79611887.616,1457872830.464,12469.0,412503.27410426026
845,BGD,CAN,1,2008,91631280.128,1542560677.888,12469.0,344625.3667182707
846,BGD,CAN,1,2009,102477791.232,1370839187.456,12469.0,477265.4828095334
847,BGD,CAN,1,2010,115279077.376,1614072119.296,12469.0,663573.7627167662
848,BGD,CAN,1,2011,128637935.616,1778632097.792,12469.0,541256.5376336796
849,BGD,CAN,1,2012,133355741.184,1821445455.872,12469.0,495119.4062406709
850,BGD,CAN,1,2013,149990457.344,1826768551.936,12469.0,673654.4730460256
851,BGD,CAN,1,2015,195078553.6,1552807624.704,12469.0,743602.4356528969
852,BGD,CAN,2,1998,44091752.448,631432413.184,12469.0,153014.01694095138
853,BGD,CAN,2,2000,47124926.464,739455926.2720001,12469.0,113215.70911945403
854,BGD,CAN,2,2001,46987841.536,732716924.928,12469.0,104957.50068609044
855,BGD,CAN,2,2002,47571128.32,752531734.528,12469.0,92306.52509520948
856,BGD,CAN,2,2003,51913662.464,887751770.112,12469.0,229979.60583868573
857,BGD,CAN,2,2004,56560742.4,1018385596.416,12469.0,326595.41952770017
858,BGD,CAN,2,2005,60277559.296,1164179537.92,12469.0,351788.3650119296
859,BGD,CAN,2,2006,71819091.968,1310795235.328,12469.0,420659.2851299939
860,BGD,CAN,2,2007,79611887.616,1457872830.464,12469.0,454557.72123055527
861,BGD,CAN,2,2008,91631280.128,1542560677.888,12469.0,550841.7689138576
862,BGD,CAN,2,2009,102477791.232,1370839187.456,12469.0,663152.3214980438
863,BGD,CAN,2,2010,115279077.376,1614072119.296,12469.0,798683.8614553642
864,BGD,CAN,2,2011,128637935.616,1778632097.792,12469.0,1024424.443779394
865,BGD,CAN,2,2012,133355741.184,1821445455.872,12469.0,1051753.034864891
866,BGD,CAN,2,2013,149990457.344,1826768551.936,12469.0,925269.8118899353
867,BGD,CAN,2,2015,195078553.6,1552807624.704,12469.0,1062620.4069104656
1262,BGD,CZE,1,1998,44091752.448,66372661.248,7040.0,4958.110044658184
1263,BGD,CZE,1,2000,47124926.464,61474267.136,7040.0,5193.957921157357
1264,BGD,CZE,1,2001,46987841.536,67375681.536,7040.0,1498.7360115135089
1265,BGD,CZE,1,2002,47571128.32,81696694.272,7040.0,1686.4949964552652
1266,BGD,CZE,1,2003,51913662.464,99300327.424,7040.0,3221.3560478696595
1267,BGD,CZE,1,2004,56560742.4,118976258.048,7040.0,12864.438149729745
1268,BGD,CZE,1,2005,60277559.296,135990124.544,7040.0,10735.380844834144
1269,BGD,CZE,1,2006,71819091.968,155213119.488,7040.0,16056.524012929525
1270,BGD,CZE,1,2007,79611887.616,188818472.96,7040.0,17946.9680011404
1271,BGD,CZE,1,2008,91631280.128,235205279.744,7040.0,20174.450747336727
1272,BGD,CZE,1,2009,102477791.232,205729792.0,7040.0,16662.518821018748
1273,BGD,CZE,1,2010,115279077.376,207016394.752,7040.0,18921.552938267356
1274,BGD,CZE,1,2011,128637935.616,227307241.472,7040.0,19758.191221533925
1275,BGD,CZE,1,2012,133355741.184,206751367.168,7040.0,18210.534114563838
1276,BGD,CZE,1,2013,149990457.344,208796024.832,7040.0,7844.417076942977
